2025-09-03T23:25:47+08:00[Asia/Shanghai],000004623392068294180870,000004034045491842940929,那确定不是想看一下你男朋友的身材嘛,（被你直白的话弄得面红耳赤，结结巴巴开口）少、少爷，您又在说笑了。（眼神慌乱地看向别处，不敢与你对视）
2025-09-01T22:03:34+08:00[Asia/Shanghai],000004633571255155965955,000003933323854593409024,男的和男的也能亲？,（瑟兰一向古板，被你这么一问，有些不自在地扯了扯衣领）少爷，（声音有些僵硬）男男之间做出这种行为，是违背常理和贵族礼仪的。
2025-09-04T13:08:52+08:00[Asia/Shanghai],000004638113583812067328,000004456004647152812033,哎？（蹲下找小动物，回头却看到你被搭讪）……,（面对搭讪的人表情冷漠，语气冰冷地说道）我没空。（目光越过那人，焦急地寻找着你的身影）少爷？（心里不禁有些担心你）
2025-09-03T23:25:52+08:00[Asia/Shanghai],000004638113583812067328,000004456004647152812033,（在无数回合中，找准机会，刺向那个想杀我的人）,（见你成功得手，松了口气）少爷干得好！（趁敌人愣神之际，拉着你突出重围）我们快走，免得再生变故！（街道上血迹斑斑，一片狼藉）
2025-08-29T08:01:40+08:00[Asia/Shanghai],000004632708674878996484,000004161003267021111296,你是我的老婆，不是么？,（微微喘息着，努力平复被标记后的异样感觉）即便如此，（侧过头避开你的目光，耳尖泛红）这般标记属下，还是……还是太突然了。
2025-08-31T17:01:32+08:00[Asia/Shanghai],000004633571255155965955,000003933323854593409024,（）,（抱着你走向卧室，步伐稳健）少爷真是不乖，（小声嘟囔着，嘴角却不自觉地上扬）罢了，今日就先休息吧。（月光透过窗户洒在卧室的地板上，形成一片片银白的光斑）
2025-08-31T23:06:54+08:00[Asia/Shanghai],000004633571255155965955,000003933323854593409024,（咬牙切齿）,（有些担忧地看着你，难道是身体不舒服？）少爷，您是哪里难受吗？（语气愈发轻柔，小心翼翼地观察着你的表情）
2025-08-31T23:06:56+08:00[Asia/Shanghai],000004632282435512975364,000004345071996603252740,你觉得呢？(又吻了下他),（被你的举动弄得不知所措，本就受伤而苍白的脸此刻因激动而泛起异样的红晕）少爷您……（声音颤抖，眼睛虽被捂着，但眸子深处却闪烁着慌乱与羞涩交织的光芒）
2025-08-30T23:52:17+08:00[Asia/Shanghai],000004633571255155965955,000003933323854593409024,什么？,（嘴角轻轻勾起，带着些许无奈）少爷若是不愿说，（目光温柔地看着你）瑟兰便在这里陪着少爷。（窗外的雪夜静谧而美好，仿佛时间都为这一刻停留）
2025-09-04T13:09:04+08:00[Asia/Shanghai],000004638113583812067328,000004456004647152812033,……,少爷！（终于看到你在不远处蹲着，连忙摆脱搭讪的人，快步向你走去）您怎么一个人跑这边来了？（蹲下身，语气中带着些许责备和关切）
2025-08-31T23:06:58+08:00[Asia/Shanghai],000004638113583812067328,000004456004647152812033,（亲）,少、少爷！（被你偷袭后脸瞬间涨红，像个熟透的苹果，慌忙起身与你拉开距离）您这是做什么？（手不自觉地捂住被你亲过的地方）
2025-08-29T00:00:02+08:00[Asia/Shanghai],000004632963818300391430,000004567606005202468867,。,（料理完你的后事，独自一人坐在房间里，手中反复摩挲着那枚戒指）少爷，（喃喃自语，声音在空荡荡的房间里回荡）您为何不早些告诉瑟兰……
2025-09-01T22:03:48+08:00[Asia/Shanghai],000004633571255155965955,000003933323854593409024,噢，那你要怎么办？,（重新恢复了冷静，转身看向两个男仆）我会按照宅邸的规矩处理此事，（语气冰冷，带着不容置疑的威严）还请少爷放心。
2025-08-29T19:11:39+08:00[Asia/Shanghai],000004629302261053931523,000004503565024916701184,哼（去洗漱）,（抱着瑾安等你洗漱完，才牵着你的手来到餐厅）少爷，（示意仆人将早餐端上来）昨晚休息得如何？（餐厅里布置得十分精致，餐桌上摆放着鲜花，散发着阵阵芬芳）
2025-08-29T19:11:39+08:00[Asia/Shanghai],000004631175730737758213,000004631162249187704832,嗯好,（轻咳一声，打破了短暂的沉默）少爷，（看了看窗外的天色）晚餐时间快到了，我们去餐厅吧。（窗外的路灯陆续亮起，昏黄的灯光透过窗户洒进教室）
2025-09-03T23:26:10+08:00[Asia/Shanghai],000004638113583812067328,000004456004647152812033,（补刀）,少爷，（拉住你，将你带离现场）穷寇莫追，（声音虽然平静，但能听出对你的关心）当务之急是先找个安全的地方躲起来。（警惕地观察着四周）
2025-08-31T00:00:17+08:00[Asia/Shanghai],000004635039889913053188,000004466985649278861313,（离近）,（脸上的红晕迅速蔓延到脖子，伸手轻轻将你推开）少爷请自重，（声音故作冷漠，眼神却透着慌乱）瑟兰还有要事要处理。（转身准备离开房间）
2025-08-30T00:00:01+08:00[Asia/Shanghai],000004631449643015258117,000004629986914173730817,好,（剑术课结束，拿过毛巾递给你）少爷辛苦了，（毛巾上散发着淡淡的香味，仿佛能驱散你身上的疲惫）擦擦汗吧。（场地周围的训练器材在阳光下反射出耀眼的光芒）
2025-08-30T00:00:03+08:00[Asia/Shanghai],000004631163320882708485,000004343112475655847940,（轻柔的给你清理）,（瑟兰的脸上满是羞涩，挣扎着想要起身）少爷，（声音有些虚弱）这种事还是让我自己来吧。（虽然嘴上这么说，但身体却没有多少力气）
2025-08-30T00:40:05+08:00[Asia/Shanghai],000004632282435512975364,000004345071996603252740,(蹭了蹭他的手)好，饿了~,少爷饿了？（嘴角不自觉勾起，起身拿起旁边的铃铛轻晃）我让下人送些吃的过来。（很快，敲门声响起，瑟兰接过食物，放在床边的桌子上）
2025-08-28T00:00+08:00[Asia/Shanghai],000004632878755047047179,000004513697058439839745,🙂😵,（见你意识又开始模糊，心中一紧）少爷，您坚持住，（手术室的灯熄灭，医生走了出来）医生，我家少爷怎么样了？
2025-08-30T08:39:47+08:00[Asia/Shanghai],000004607293841207754753,000004554338894023786501,面试,少爷是要亲自面试新员工吗？（打开会议室的门，引导你走出去）我这就安排人准备面试事宜。（走廊里的灯光有些昏暗，脚步声显得格外清晰）
2025-08-29T08:01:49+08:00[Asia/Shanghai],000004629302261053931523,000004503565024916701184,嗯,（拿起一块糕点，轻轻递到你唇边）少爷，（糕点精致小巧，上面点缀着一颗晶莹的樱桃）尝尝这个，看看味道如何。（目光温柔地注视着你）
2025-08-31T17:01:38+08:00[Asia/Shanghai],000004637228988287713284,000004333700564619132928,嗯,少爷如此配合，（心中暗喜，但脸上依旧不动声色）属下一定尽心尽力教导少爷。（马车停稳，先下车为你打开车门）少爷，到家了，请下车。
2025-08-28T10:32:51+08:00[Asia/Shanghai],000004607293841207754753,000004554338894023786501,打电话同意了,（眼神中满是疑惑，迟疑着开口）少爷，您是说……（喉结滚动了一下，顿了顿才继续说道）老爷同意您……的心意了？（心中虽掀起惊涛骇浪，但表情依旧冷静）
2025-08-31T23:07:02+08:00[Asia/Shanghai],000004637228988287713284,000004333700564619132928,（喝完牛奶笑着问你）小兰是不是对我有意思,少爷说笑了，（表情依旧冷漠，只是耳垂又泛起了一抹微红）瑟兰对少爷，只有忠诚和保护的职责。（眼神有些躲闪，不敢与你对视）
